#airline_name	IATA_country_source	airport_source	IATA_destination_country	destination_country
CZ	China	SZX	China	WNZ
CZ	China	SZX	China	WUH
CZ	China	SZX	China	WUX
CZ	China	SZX	China	XIY
CZ	China	SZX	China	XMN
CZ	China	SZX	China	ZYI
CZ	China	TAO	China	CAN
CZ	China	TAO	China	CGO
CZ	China	TAO	China	CGQ
CZ	China	TAO	China	CSX
CZ	China	TAO	China	DLC
CZ	China	TAO	China	DQA
CZ	China	TAO	China	FOC
CZ	China	TAO	China	HET
CZ	China	TAO	China	HGH
CZ	China	TAO	China	HRB
CZ	China	TAO	China	KMG
CZ	China	TAO	China	KWE
CZ	China	TAO	China	NGB
CZ	China	TAO	China	PVG
CZ	China	TAO	China	SHE
CZ	China	TAO	China	SZX
CZ	China	TAO	China	TXN
CZ	China	TAO	China	TYN
CZ	China	TAO	China	WUH
CZ	China	TAO	China	XIY
CZ	China	TAO	China	XMN
CZ	Uzbekistan	TAS	China	PEK
CZ	Uzbekistan	TAS	China	URC
CZ	Georgia	TBS	China	URC
CZ	China	TCG	China	URC
CZ	China	TEN	China	CAN
CZ	China	TEN	China	PEK
CZ	China	TEN	China	SZX
CZ	China	TGO	China	HET
CZ	China	TNA	China	CAN
CZ	China	TNA	China	CGQ
CZ	China	TNA	China	CSX
CZ	China	TNA	China	CTU
CZ	China	TNA	China	DLC
CZ	China	TNA	China	FOC
CZ	China	TNA	China	HET
CZ	China	TNA	China	HGH
CZ	China	TNA	China	HRB
CZ	China	TNA	China	KWL
CZ	China	TNA	China	LHW
CZ	China	TNA	China	SHE
CZ	China	TNA	China	URC
CZ	China	TNA	China	WUH
CZ	China	TNA	China	XIY
CZ	China	TNA	China	XMN
CZ	Japan	TOY	China	DLC
CZ	Taiwan	TPE	China	CAN
CZ	Taiwan	TPE	China	CGO
CZ	Taiwan	TPE	China	CGQ
CZ	Taiwan	TPE	China	CSX
CZ	Taiwan	TPE	China	DLC
CZ	Taiwan	TPE	China	DYG
CZ	Taiwan	TPE	China	HRB
CZ	Taiwan	TPE	China	KWE
CZ	Taiwan	TPE	China	KWL
CZ	Taiwan	TPE	China	NNG
CZ	Taiwan	TPE	China	PVG
CZ	Taiwan	TPE	China	SHE
CZ	Taiwan	TPE	China	SZX
CZ	Taiwan	TPE	China	URC
CZ	Taiwan	TPE	China	WUH
CZ	Kazakhstan	TSE	China	URC
CZ	China	TSN	China	CAN
CZ	China	TSN	China	CKG
CZ	China	TSN	China	CSX
CZ	China	TSN	China	DLC
CZ	China	TSN	China	HET
CZ	China	TSN	China	HGH
CZ	China	TSN	China	HRB
CZ	China	TSN	China	SZX
CZ	China	TSN	China	WUH
CZ	China	TSN	China	XIY
CZ	China	TSN	China	XMN
CZ	China	TXN	China	CAN
CZ	China	TXN	China	CSX
CZ	China	TXN	China	DLC
CZ	China	TXN	China	SZX
CZ	China	TXN	China	TAO
CZ	China	TXN	China	TYN
CZ	China	TXN	China	XMN
CZ	China	TYN	China	CAN
CZ	China	TYN	China	CGQ
CZ	China	TYN	China	CSX
CZ	China	TYN	China	CTU
CZ	China	TYN	China	CZX
CZ	China	TYN	China	DAT
CZ	China	TYN	China	DLC
CZ	China	TYN	China	DYG
CZ	China	TYN	China	HFE
CZ	China	TYN	China	HGH
CZ	China	TYN	NA	INC
CZ	China	TYN	China	KHN
CZ	China	TYN	China	SHE
CZ	China	TYN	China	TAO
CZ	China	TYN	China	TXN
CZ	China	TYN	China	URC
CZ	China	TYN	China	WUH
CZ	China	TYN	China	XIY
CZ	China	TYN	China	XMN
CZ	China	URC	China	AAT
CZ	China	URC	China	AKU
CZ	China	URC	Kazakhstan	ALA
CZ	China	URC	Turkmenistan	ASB
CZ	China	URC	China	BAV
CZ	China	URC	China	CAN
CZ	China	URC	China	CGO
CZ	China	URC	China	CKG
CZ	China	URC	China	CSX
CZ	China	URC	China	CTU
