#airline_name	IATA_country_source	airport_source	IATA_destination_country	destination_country
CZ	China	URC	China	DNH
CZ	China	URC	Tajikistan	DYU
CZ	China	URC	Kyrgyzstan	FRU
CZ	China	URC	Azerbaijan	GYD
CZ	China	URC	China	HET
CZ	China	URC	China	HGH
CZ	China	URC	China	HMI
CZ	China	URC	China	HTN
CZ	China	URC	Iran	IKA
CZ	China	URC	NA	INC
CZ	China	URC	Pakistan	ISB
CZ	China	URC	Turkey	IST
CZ	China	URC	China	KCA
CZ	China	URC	China	KHG
CZ	China	URC	China	KRL
CZ	China	URC	China	KRY
CZ	China	URC	China	KWE
CZ	China	URC	Tajikistan	LBD
CZ	China	URC	China	LHW
CZ	China	URC	China	NKG
CZ	China	URC	China	NLT
CZ	China	URC	Kyrgyzstan	OSS
CZ	China	URC	Russia	OVB
CZ	China	URC	China	PEK
CZ	China	URC	China	PVG
CZ	China	URC	China	SHA
CZ	China	URC	China	SJW
CZ	China	URC	Russia	SVO
CZ	China	URC	Uzbekistan	TAS
CZ	China	URC	Georgia	TBS
CZ	China	URC	China	TCG
CZ	China	URC	China	TNA
CZ	China	URC	Taiwan	TPE
CZ	China	URC	Kazakhstan	TSE
CZ	China	URC	China	TYN
CZ	China	URC	China	WUH
CZ	China	URC	China	XIY
CZ	China	URC	China	XNN
CZ	China	URC	China	YIN
CZ	China	URC	China	YIW
CZ	China	UYN	China	CGO
CZ	China	UYN	China	XIY
CZ	NA	WNH	China	KMG
CZ	China	WNZ	China	CAN
CZ	China	WNZ	China	CGO
CZ	China	WNZ	China	CSX
CZ	China	WNZ	China	KWL
CZ	China	WNZ	China	SZX
CZ	China	WNZ	China	WUH
CZ	China	WNZ	China	XIY
CZ	China	WUH	China	BAV
CZ	China	WUH	Thailand	BKK
CZ	China	WUH	China	CAN
CZ	China	WUH	China	CGQ
CZ	China	WUH	China	CKG
CZ	China	WUH	China	CTU
CZ	China	WUH	China	DLC
CZ	China	WUH	China	ENH
CZ	China	WUH	China	FOC
CZ	China	WUH	China	HAK
CZ	China	WUH	China	HGH
CZ	China	WUH	Hong Kong	HKG
CZ	China	WUH	South Korea	ICN
CZ	China	WUH	NA	INC
CZ	China	WUH	China	JJN
CZ	China	WUH	Taiwan	KHH
CZ	China	WUH	China	KMG
CZ	China	WUH	China	KWE
CZ	China	WUH	China	KWL
CZ	China	WUH	China	LHW
CZ	China	WUH	China	NGB
CZ	China	WUH	China	NNG
CZ	China	WUH	China	PEK
CZ	China	WUH	China	PVG
CZ	China	WUH	China	SHA
CZ	China	WUH	China	SHE
CZ	China	WUH	China	SWA
CZ	China	WUH	China	SYX
CZ	China	WUH	China	SZX
CZ	China	WUH	China	TAO
CZ	China	WUH	China	TNA
CZ	China	WUH	Taiwan	TPE
CZ	China	WUH	China	TSN
CZ	China	WUH	China	TYN
CZ	China	WUH	China	URC
CZ	China	WUH	China	WNZ
CZ	China	WUH	China	XIY
CZ	China	WUH	China	XMN
CZ	China	WUH	China	YNZ
CZ	China	WUH	China	ZUH
CZ	China	WUS	China	PEK
CZ	China	WUX	China	CAN
CZ	China	WUX	China	SZX
CZ	China	WXN	China	XIY
CZ	China	WXN	China	XMN
CZ	China	XFN	China	CAN
CZ	China	XFN	China	XMN
CZ	China	XIL	China	HET
CZ	China	XIY	China	CAN
CZ	China	XIY	China	CKG
CZ	China	XIY	China	CSX
CZ	China	XIY	China	CTU
CZ	China	XIY	China	DLC
CZ	China	XIY	China	DNH
CZ	China	XIY	China	ENY
CZ	China	XIY	China	FOC
CZ	China	XIY	China	HFE
CZ	China	XIY	China	HGH
CZ	China	XIY	China	HRB
CZ	China	XIY	NA	INC
CZ	China	XIY	China	KHN
CZ	China	XIY	China	KMG
CZ	China	XIY	China	KWE
CZ	China	XIY	China	KWL
CZ	China	XIY	China	LXA
CZ	China	XIY	China	NKG
CZ	China	XIY	China	PEK
